ts	run	board	white	black	result	plies	wpc	bpc	wms	bms	wcpu	bcpu	wmv	bmv	wnod	bnod	wed	bed	wsn	bsn	seed	par
2026-07-26T21:40:24Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1.opener(rand,4)@1	B	36	10	14	96.343	167.296	78.125	156.250	18	18	308907	408382	42.00	71.00	7	14	677687520	12
2026-07-26T21:40:24Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1.opener(rand,4)@1	W	52	10	9	671.139	218.487	515.625	218.750	26	26	1738293	656512	122.61	105.00	22	22	1225481793	12
2026-07-26T21:40:26Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1.opener(rand,4)@1	B	61	9	10	755.733	333.784	640.625	281.250	31	30	2324026	824138	148.00	131.00	27	26	2530343946	12
2026-07-26T21:40:26Z	20260726T214015Z	boards/board1.txt	rand@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1.opener(rand,4)@1	B	30	13	16	0.017	141.798	0.000	125.000	15	15	0	402981	0.00	52.00	0	11	79585295	12
2026-07-26T21:40:26Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	W	47	12	9	498.476	204.860	421.875	140.625	24	23	1375245	475606	115.00	66.00	20	11	1067480857	12
2026-07-26T21:40:27Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	W	57	11	8	554.618	129.805	468.750	140.625	29	28	1401937	385284	137.00	60.00	25	10	961216034	12
2026-07-26T21:40:27Z	20260726T214015Z	boards/board1.txt	rand@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	B	64	12	14	0.018	14.943	0.000	15.625	32	32	0	39098	0.00	10.00	0	3	1108102983	12
2026-07-26T21:40:28Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s6,eac8ab99)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	W	74	7	7	825.101	540.002	703.125	453.125	37	37	2237476	1309471	189.00	184.00	33	33	572510822	12
2026-07-26T21:40:29Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,qs,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	W	48	10	13	569.834	322.992	531.250	281.250	24	24	1451290	833686	111.00	106.00	20	20	281035984	12
2026-07-26T21:40:43Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s111,78ef6974)@1.opener(rand,4)@1	W	58	11	9	797.403	12670.067	750.000	10765.625	29	29	2209518	2403474	141.00	134.27	25	25	3053025444	12
