rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
152	631	25	196	86	110	50	48	36	62	46.3	8.481	7.095	1543	49	gone	ab(d4,tt,ord,nb200k)@1.learned(s35,e0fe5acd)@1
153	624	25	196	84	112	45	53	39	59	47.8	6.147	4.624	1671	51	gone	ab(d4,tt,ord,nb200k)@1.learned(s17,56ed7027)@1
154	624	25	196	84	112	39	59	45	53	47.8	9.923	7.920	1648	48	gone	ab(d4,tt,ord,nb200k)@1.learned(s33,b02b58b6)@1
155	618	12	1120	495	625	254	306	241	319	42.1	5.272	8.399	26813	47	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r18)@1
156	617	12	1120	493	627	249	311	244	316	43.5	0.158	0.247	3804	78	on	ab(d4)@1.classic(t1,c4,w0,l0)@2.dil(r10)@1
157	616	25	196	82	114	44	54	38	60	47.2	6.299	4.811	1729	50	gone	ab(d4,tt,ord,nb200k)@1.learned(s19,37dc9a9a)@1
158	616	25	196	82	114	47	51	35	63	48.0	5.924	4.747	1651	50	gone	ab(d4,tt,ord,nb200k)@1.learned(s21,29061624)@1
159	616	25	196	82	114	43	55	39	59	49.3	6.487	5.033	1753	50	gone	ab(d4,tt,ord,nb200k)@1.learned(s26,d70c5070)@1
160	616	24	318	126	192	69	90	57	102	38.2	5.891	7.611	33363	48	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r22)@1
161	613	26	196	81	115	41	57	40	58	48.4	9.674	7.701	1620	47	gone	ab(d4,tt,ord,nb200k)@1.learned(s28,6d10efee)@1
162	609	26	196	80	116	41	57	39	59	49.6	10.123	8.462	1788	47	gone	ab(d4,tt,ord,nb200k)@1.learned(s37,97ad3321)@1
163	605	26	196	79	117	42	56	37	61	48.3	10.243	7.770	1666	47	gone	ab(d4,tt,ord,nb200k)@1.learned(s29,ef8eac9c)@1
164	604	12	1120	477	643	215	345	262	298	46.3	0.005	0.008	114	192	on	ab(d2)@1.classic(t1,c4,w0,l0)@2
165	602	16	524	309	215	140	122	169	93	57.4	0.340	0.284	1030	74	gone	ab(d4,tt,ord,nb200k)@1.learned(s45,d675341a)@1
166	602	20	504	200	304	107	145	93	159	37.2	0.006	0.002	113	399	gone	ab(d2)@1.classic(t1,c4,w0,l0)@1
167	601	26	196	78	118	41	57	37	61	42.5	6.077	4.457	1563	50	gone	ab(d4,tt,ord,nb200k)@1.learned(s16,500afc93)@1
168	594	26	196	76	120	44	54	32	66	49.2	12.069	9.331	1909	45	gone	ab(d4,tt,ord,nb200k)@1.learned(s27,12a6c33c)@1
169	590	26	196	75	121	42	56	33	65	49.3	9.031	7.509	1638	46	gone	ab(d4,tt,ord,nb200k)@1.learned(s31,19904e2a)@1
170	588	16	524	299	225	132	130	167	95	58.7	0.309	0.272	956	73	gone	ab(d4,tt,ord,nb200k)@1.learned(s34,d9ec0240)@1
171	586	26	196	74	122	43	55	31	67	47.4	8.898	7.248	1596	46	gone	ab(d4,tt,ord,nb200k)@1.learned(s36,31b20ca2)@1
172	586	26	196	74	122	41	57	33	65	48.0	8.793	7.211	1611	46	gone	ab(d4,tt,ord,nb200k)@1.learned(s38,2df06048)@1
173	575	16	524	290	234	151	111	139	123	60.7	0.375	0.341	1171	68	gone	ab(d4,tt,ord,nb200k)@1.learned(s13,629d8cc2)@1
174	575	16	524	290	234	156	106	134	128	62.8	0.306	0.264	928	71	gone	ab(d4,tt,ord,nb200k)@1.learned(s22,a80f6d17)@1
175	567	26	196	69	127	36	62	33	65	46.8	5.843	4.614	1618	47	gone	ab(d4,tt,ord,nb200k)@1.learned(s18,111d8d80)@1
