mode	k	g	half	games_per_agent	opp_per_agent	min_opp	n	rho	worst	rms	max	mean_shift	med_pm	over2pm	rms_openless	rms_opener8	rms_dil20	core_rho	core_worst	champs_same	ab_rho	ab_rms	within	within_opener8	ab_within	ab_within_opener8
panel	16	2	B	32	16	16	198	0.946	89	99.75	424	25.29	74	0.08586	116.6	84.95	95.02	0.9616	7	2	0.9028	118.1	91.69	81.32	112.6	103.3
panel	16	4	A	61	16	16	198	0.9636	54	62.73	171	2.187	56	0.06061	62.4	62.72	63.05	0.9813	6	1	0.939	93.27	61.65	61.87	84.99	69.84
panel	16	4	B	60	16	16	198	0.9613	86	87.26	340	21.83	54	0.1313	109.2	67.06	80.18	0.9582	6	2	0.939	93.27	77.94	61.09	84.99	69.84
panel	16	8	A	119	16	16	198	0.9752	53	52.62	150	-4.354	40	0.07576	58.4	44.85	53.72	0.988	5	2	0.9505	84.27	51.82	43.65	74.6	52.41
panel	16	8	B	116	16	16	198	0.9682	82	79.74	356	20.02	38	0.1768	104	54.93	72.46	0.9729	6	3	0.9505	84.27	70.27	44.39	74.6	52.41
panel	16	16	A	235	16	16	198	0.985	42	42.55	130	-1.47	29	0.1212	55.88	31.11	36.61	0.9866	5	2	0.964	78.41	40.81	29.74	69.43	36.49
panel	16	16	B	228	16	16	198	0.9753	75	75.64	362	20.62	27	0.2374	98.38	47.21	72.49	0.9779	6	1	0.964	78.41	64.86	32.37	69.43	36.49
panel	32	2	A	64	32	32	198	0.9749	38	55.87	163	2.576	51	0.05556	61.7	51.68	53.72	0.9836	6	1	0.9538	76.76	53.26	48.15	74.68	66.25
panel	32	2	B	64	32	32	198	0.9653	74	64.97	279	11.68	52	0.06061	72.37	53.8	67.3	0.987	4	1	0.9538	76.76	63.07	53.17	74.68	66.25
panel	32	4	A	123.7	32	32	198	0.9861	28	43.09	121	-2.328	37	0.08081	51.49	41.14	35.01	0.9893	4	1	0.9654	66.76	40.39	35.08	62	53.33
panel	32	4	B	122	32	32	198	0.9735	74	55.52	251	10.88	38	0.07576	62.07	45.19	57.88	0.9926	3	2	0.9654	66.76	52.32	41.52	62	53.33
panel	32	8	A	243	32	32	198	0.9908	22	36.06	109	-5.813	27	0.101	43.57	35.08	27.78	0.991	4	3	0.9743	56.81	32.3	26.04	50.92	34.43
panel	32	8	B	238	32	32	198	0.9774	72	51.73	272	9.328	27	0.1566	62.94	36.27	52.47	0.9896	4	3	0.9743	56.81	48.01	30.82	50.92	34.43
panel	32	16	A	481.7	32	32	198	0.9939	19	31.31	92	-6.561	19	0.202	36.69	32.3	23.5	0.9883	5	1	0.9801	53.82	26.53	20.04	46.71	25.32
