rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
386	685	7	3472	1400	2072	787	949	613	1123	50.5	11.400	11.261	42348	51	on	ab(deep=6,tt,ord,time=150ms)@2.learned(model=99,59815079,pool_games,lin,shape=129-1)@1.opener(rand,moves=8)@1
387	683	10	1727	672	1055	340	518	332	537	52.2	69.693	65.837	71155	43	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=279,409dc0b3,tdleaf_self,mlp,shape=30-16-1)@1
388	682	9	1796	683	1113	342	556	341	557	51.3	0.456	0.452	1711	77	gone	ab(deep=4,tt,ord,nodes=200k)@1.learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1
389	681	8	2336	983	1353	488	680	495	673	42.3	4.728	7.470	116203	53	gone	ab(deep=6,nodes=200k)@1.classic(chip=100)@2.dil(prob=10)@1
390	681	9	1820	912	908	472	438	440	470	57.2	29.434	28.738	15142	46	on	ab(deep=4)@2.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
391	678	7	3472	1374	2098	734	1002	640	1096	50.0	286.369	282.883	66537	37	on	ab(deep=6,tt,ord,time=150ms)@2.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1.opener(rand,moves=8)@1
392	678	9	1820	905	915	434	476	471	439	58.1	71.964	70.733	14700	42	on	ab(deep=4)@2.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
393	677	8	2268	955	1313	478	664	477	649	45.6	0.005	0.010	114	195	gone	ab(deep=2)@1.classic(chip=100)@2
394	673	9	1820	895	925	420	490	475	435	51.2	1.135	1.133	4374	66	on	ab(deep=4,tt,ord,nodes=200k)@2.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1
395	673	12	1052	481	571	265	261	216	310	55.1	16.694	16.041	57608	48	gone	ab(deep=6,tt,ord,time=150ms)@1.learned(model=97,87a5093d,pool_games,lin,shape=129-1)@1
396	672	8	2252	937	1315	485	641	452	674	53.3	1.668	2.722	17431	59	gone	ab(deep=4)@1.exp(chip=64,column=1,forward=15)@2
397	669	9	1820	887	933	450	460	437	473	57.0	61.521	60.474	14811	42	on	ab(deep=4)@2.learned(model=113,e3cc8b4e,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
398	669	25	196	91	105	46	52	45	53	48.0	6.240	4.956	1762	55	gone	ab(d4,tt,ord,nb200k)@1.learned(s23,1533231f)@1
399	669	25	196	91	105	46	52	45	53	49.0	6.262	4.835	1708	55	gone	ab(d4,tt,ord,nb200k)@1.learned(s25,64a11ec7)@1
